k,diff-to-upper-bound
1214,1.498046875
1215,1.4990234375
1216,1.5
1217,1.5009765625
1218,1.501953125
1219,1.5029296875
1220,1.50390625
1221,1.5048828125
1222,1.505859375
1223,1.5068359375
1224,1.5078125
1225,1.5087890625
1226,1.509765625
1227,1.5107421875
1228,1.51171875
1229,1.5126953125
1230,1.513671875
1231,1.5146484375
1232,1.515625
1233,1.5166015625
1234,1.517578125
1235,1.5185546875
1236,1.51953125
1237,1.5205078125
1238,1.521484375
1239,1.5224609375
1240,1.5234375
1241,1.5244140625
1242,1.525390625
1243,1.5263671875
1244,1.52734375
1245,1.5283203125
1246,1.529296875
1247,1.5302734375
1248,1.53125
1249,1.5322265625
1250,1.533203125
1251,1.5341796875
1252,1.53515625
1253,1.5361328125
1254,1.537109375
1255,1.5380859375
1256,1.5390625
1257,1.5400390625
1258,1.541015625
1259,1.5419921875
1260,1.54296875
1261,1.5439453125
1262,1.544921875
1263,1.5458984375
1264,1.546875
1265,1.5478515625
1266,1.548828125
1267,1.5498046875
1268,1.55078125
1269,1.5517578125
1270,1.552734375
1271,1.5537109375
1272,1.5546875
1273,1.5556640625
1274,1.556640625
1275,1.5576171875
1276,1.55859375
1277,1.5595703125
1278,1.560546875
1279,1.5615234375
1280,1.56201171875
1281,1.5625
1282,1.56298828125
1283,1.5634765625
1284,1.56396484375
1285,1.564453125
1286,1.56494140625
1287,1.5654296875
1288,1.56591796875
1289,1.56640625
1290,1.56689453125
1291,1.5673828125
1292,1.56787109375
1293,1.568359375
1294,1.56884765625
1295,1.5693359375
1296,1.56982421875
1297,1.5703125
1298,1.57080078125
1299,1.5712890625
1300,1.57177734375
1301,1.572265625
1302,1.57275390625
1303,1.5732421875
1304,1.57373046875
1305,1.57421875
1306,1.57470703125
1307,1.5751953125
1308,1.57568359375
1309,1.576171875
1310,1.57666015625
1311,1.5771484375
1312,1.57763671875
1313,1.578125
1314,1.57861328125
1315,1.5791015625
1316,1.57958984375
1317,1.580078125
1318,1.58056640625
1319,1.5810546875
1320,1.58154296875
1321,1.58203125
1322,1.58251953125
1323,1.5830078125
1324,1.58349609375
1325,1.583984375
1326,1.58447265625
1327,1.5849609375
1328,1.58544921875
1329,1.5859375
1330,1.58642578125
1331,1.5869140625
1332,1.58740234375
1333,1.587890625
1334,1.58837890625
1335,1.5888671875
1336,1.58935546875
1337,1.58984375
1338,1.59033203125
1339,1.5908203125
1340,1.59130859375
1341,1.591796875
1342,1.59228515625
1343,1.5927734375
1344,1.59326171875
1345,1.59375
1346,1.59423828125
1347,1.5947265625
1348,1.59521484375
1349,1.595703125
1350,1.59619140625
1351,1.5966796875
1352,1.59716796875
1353,1.59765625
1354,1.59814453125
1355,1.5986328125
1356,1.59912109375
1357,1.599609375
1358,1.60009765625
1359,1.6005859375
1360,1.60107421875
1361,1.6015625
1362,1.60205078125
1363,1.6025390625
1364,1.60302734375
1365,1.603515625
1366,1.60400390625
1367,1.6044921875
1368,1.60498046875
1369,1.60546875
1370,1.60595703125
1371,1.6064453125
1372,1.60693359375
1373,1.607421875
1374,1.60791015625
1375,1.6083984375
1376,1.60888671875
1377,1.609375
1378,1.60986328125
1379,1.6103515625
1380,1.61083984375
1381,1.611328125
1382,1.61181640625
1383,1.6123046875
1384,1.61279296875
1385,1.61328125
1386,1.61376953125
1387,1.6142578125
1388,1.61474609375
1389,1.615234375
1390,1.61572265625
1391,1.6162109375
1392,1.61669921875
1393,1.6171875
1394,1.61767578125
1395,1.6181640625
1396,1.61865234375
1397,1.619140625
1398,1.61962890625
1399,1.6201171875
1400,1.62060546875
1401,1.62109375
1402,1.62158203125
1403,1.6220703125
1404,1.62255859375
1405,1.623046875
1406,1.62353515625
1407,1.6240234375
1408,1.62451171875
1409,1.625
1410,1.62548828125
1411,1.6259765625
1412,1.62646484375
1413,1.626953125
1414,1.62744140625
1415,1.6279296875
1416,1.62841796875
1417,1.62890625
1418,1.62939453125
1419,1.6298828125
1420,1.63037109375
1421,1.630859375
1422,1.63134765625
1423,1.6318359375
1424,1.63232421875
1425,1.6328125
1426,1.63330078125
1427,1.6337890625
1428,1.63427734375
1429,1.634765625
1430,1.63525390625
1431,1.6357421875
1432,1.63623046875
1433,1.63671875
1434,1.63720703125
1435,1.6376953125
1436,1.63818359375
1437,1.638671875
1438,1.63916015625
1439,1.6396484375
1440,1.64013671875
1441,1.640625
1442,1.64111328125
1443,1.6416015625
1444,1.64208984375
1445,1.642578125
1446,1.64306640625
1447,1.6435546875
1448,1.64404296875
1449,1.64453125
1450,1.64501953125
1451,1.6455078125
1452,1.64599609375
1453,1.646484375
1454,1.64697265625
1455,1.6474609375
1456,1.64794921875
1457,1.6484375
1458,1.64892578125
1459,1.6494140625
1460,1.64990234375
1461,1.650390625
1462,1.65087890625
1463,1.6513671875
1464,1.65185546875
1465,1.65234375
1466,1.65283203125
1467,1.6533203125
1468,1.65380859375
1469,1.654296875
1470,1.65478515625
1471,1.6552734375
1472,1.65576171875
1473,1.65625
1474,1.65673828125
1475,1.6572265625
1476,1.65771484375
1477,1.658203125
1478,1.65869140625
1479,1.6591796875
1480,1.65966796875
1481,1.66015625
1482,1.66064453125
1483,1.6611328125
1484,1.66162109375
1485,1.662109375
1486,1.66259765625
1487,1.6630859375
1488,1.66357421875
1489,1.6640625
1490,1.66455078125
1491,1.6650390625
1492,1.66552734375
1493,1.666015625
1494,1.66650390625
1495,1.6669921875
1496,1.66748046875
1497,1.66796875
1498,1.66845703125
1499,1.6689453125
1500,1.66943359375
1501,1.669921875
1502,1.67041015625
1503,1.6708984375
1504,1.67138671875
1505,1.671875
1506,1.67236328125
1507,1.6728515625
1508,1.67333984375
1509,1.673828125
1510,1.67431640625
1511,1.6748046875
1512,1.67529296875
1513,1.67578125
1514,1.67626953125
1515,1.6767578125
1516,1.67724609375
1517,1.677734375
1518,1.67822265625
1519,1.6787109375
1520,1.67919921875
1521,1.6796875
1522,1.68017578125
1523,1.6806640625
1524,1.68115234375
1525,1.681640625
1526,1.68212890625
1527,1.6826171875
1528,1.68310546875
1529,1.68359375
1530,1.68408203125
1531,1.6845703125
1532,1.68505859375
1533,1.685546875
1534,1.68603515625
